Model,Title,Rating(scaled to 5),Reveiw,Reviewer,Date,url
JEEP COMPASS,Good SUV But Engine Makes Lot Of Noises,4,reveiw   ,By Karan Khanna,"On: Oct 08, 2019 | 4940 Views",www.cardekho.com
JEEP COMPASS,Excellent car.,5,reveiw   ,By Raj,"On: Dec 02, 2019 | 366 Views",www.cardekho.com
JEEP COMPASS,Excellent SUV,5,reveiw   ,By Sougata Sen,"On: Sep 22, 2019 | 183 Views",www.cardekho.com
JEEP COMPASS,Not satisfied.,1,reveiw   ,By Vedant,"On: Dec 07, 2019 | 74 Views",www.cardekho.com
JEEP COMPASS,Value for money.,5,reveiw   ,By Anonymous,"On: Dec 03, 2019 | 189 Views",www.cardekho.com
JEEP COMPASS,Best Car Performance,5,reveiw   ,By Rachit Attreya,"On: Oct 13, 2019 | 110 Views",www.cardekho.com
JEEP COMPASS,Poor Build Quality,1,reveiw   ,By Dr Jaipal Singh,"On: Oct 08, 2019 | 205 Views",www.cardekho.com
JEEP COMPASS,Great car so far.,5,reveiw   ,By Ravneet Singh,"On: Dec 04, 2019 | 54 Views",www.cardekho.com
JEEP COMPASS,Service issues,1,reveiw   ,By Yash Ganatra,"On: Nov 22, 2019 | 150 Views",www.cardekho.com
JEEP COMPASS,My Best Car.,5,reveiw   ,By Ravindra,"On: Sep 10, 2019 | 64 Views",www.cardekho.com
JEEP COMPASS,The Most Complete SUV,5,reveiw   ,By Vineet Sharma,"On: Jul 14, 2019 | 3710 Views",www.cardekho.com
JEEP COMPASS,Jeep compass-The Beast!,5,reveiw   ,By Mohit Gupta,"On: Aug 17, 2019 | 1785 Views",www.cardekho.com
JEEP COMPASS,#Jeeplife.,5,reveiw   ,By Raj Verified Buyer,"On: Aug 12, 2019 | 194 Views",www.cardekho.com
JEEP COMPASS,Super Beast,5,reveiw   ,By Sahil,"On: Aug 25, 2019 | 146 Views",www.cardekho.com
JEEP COMPASS,Jeep compass,4,reveiw   ,By Kailash Rana,"On: Jul 12, 2019 | 202 Views",www.cardekho.com
JEEP COMPASS,Very good and cool product,4,reveiw   ,By Ansh,"On: Jul 19, 2019 | 146 Views",www.cardekho.com
JEEP COMPASS,Third Class Car;,1,reveiw   ,By Lerish Virpariya,"On: Aug 31, 2019 | 309 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass A Perfect Family Car,5,reveiw   ,By Sanjay Rohilla Verified Buyer,"On: Aug 10, 2019 | 90 Views",www.cardekho.com
JEEP COMPASS,Premium SUV,5,reveiw   ,By Danish Chadha,"On: Aug 09, 2019 | 56 Views",www.cardekho.com
JEEP COMPASS,Nice car,5,reveiw   ,By Mohan Hb Mohan,"On: Jul 31, 2019 | 55 Views",www.cardekho.com
JEEP COMPASS,My Bad I bought Jeep Compass,1,reveiw   ,By Sanjay,"On: Jun 09, 2019 | 769 Views",www.cardekho.com
JEEP COMPASS,Safest vehicle,5,reveiw   ,By Shashank Chikodi,"On: Jun 15, 2019 | 66 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,1,reveiw   ,By Sudarshanreddy,"On: Jul 12, 2019 | 2656 Views",www.cardekho.com
JEEP COMPASS,JEEP COMPASS IS FAB AND OUTSTANDING SUV.,5,reveiw   ,By Vipranshu Gupta,"On: Jul 01, 2019 | 114 Views",www.cardekho.com
JEEP COMPASS,Great machine,5,reveiw   ,By User,"On: Jun 28, 2019 | 130 Views",www.cardekho.com
JEEP COMPASS,EXCELLENT PERFORMANCE OF JEEP EXCEPT LOW MILEAGE.,4,reveiw   ,By Ajay Shrivas Verified Buyer,"On: Jun 24, 2019 | 177 Views",www.cardekho.com
JEEP COMPASS,An excellent Car,5,reveiw   ,By Sandeep Lamba Verified Buyer,"On: Jun 18, 2019 | 73 Views",www.cardekho.com
JEEP COMPASS,Best Car,5,reveiw   ,By Piyush Jain,"On: Jun 10, 2019 | 50 Views",www.cardekho.com
JEEP COMPASS,Darling car,5,reveiw   ,By Karan Verified Buyer,"On: Jul 01, 2019 | 52 Views",www.cardekho.com
JEEP COMPASS,Most Awaited Car.,5,reveiw   ,By Aman Jurel,"On: Jun 15, 2019 | 56 Views",www.cardekho.com
JEEP COMPASS,Value for money Car,5,reveiw   ,By Ak Ash,"On: May 20, 2019 | 602 Views",www.cardekho.com
JEEP COMPASS,THE BEAST JEEP COMPASS,5,reveiw   ,By Shivansh Arora,"On: May 10, 2019 | 93 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Vikas Giri,"On: May 12, 2019 | 118 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Vivek,"On: Jun 02, 2019 | 76 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Vishw Parekh,"On: May 25, 2019 | 44 Views",www.cardekho.com
JEEP COMPASS,Service is poor,2,reveiw   ,By Sanjaytiwari,"On: May 17, 2019 | 151 Views",www.cardekho.com
JEEP COMPASS,BATTERY ISSUE IN 1 YR,1,reveiw   ,By Sarita,"On: May 13, 2019 | 150 Views",www.cardekho.com
JEEP COMPASS,Amazing Car,5,reveiw   ,By Harshit,"On: May 10, 2019 | 84 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass - An absolute gem,5,reveiw   ,By Aditya Sobti,"On: Jun 06, 2019 | 67 Views",www.cardekho.com
JEEP COMPASS,This car is one of its kind in india,4,reveiw   ,By Vidhayak Phoolpur,"On: Jun 05, 2019 | 58 Views",www.cardekho.com
JEEP COMPASS,AMAZING CAR,5,reveiw   ,By Jin Media,"On: Apr 12, 2019 | 186 Views",www.cardekho.com
JEEP COMPASS,TRUE TO ITS JEEP HERITAGE,4,reveiw   ,By Nipun,"On: Apr 19, 2019 | 650 Views",www.cardekho.com
JEEP COMPASS,Awesome Car,4,reveiw   ,By Kanishk Kandoi,"On: Apr 17, 2019 | 40 Views",www.cardekho.com
JEEP COMPASS,Lead the way,5,reveiw   ,By Shivam,"On: Apr 16, 2019 | 41 Views",www.cardekho.com
JEEP COMPASS,Can't wait for you,5,reveiw   ,By Edws,"On: Apr 16, 2019 | 38 Views",www.cardekho.com
JEEP COMPASS,Best Premium SUV In India,5,reveiw   ,By Anand Kumar,"On: Apr 10, 2019 | 100 Views",www.cardekho.com
JEEP COMPASS,Best car,5,reveiw   ,By Mayank,"On: Apr 09, 2019 | 83 Views",www.cardekho.com
JEEP COMPASS,Jeep a brand,5,reveiw   ,By Gaurav Sharma,"On: May 09, 2019 | 64 Views",www.cardekho.com
JEEP COMPASS,Great specifications of car for all middle class families,5,reveiw   ,By Vijay,"On: May 05, 2019 | 180 Views",www.cardekho.com
JEEP COMPASS,Superior car,5,reveiw   ,By Ranjeet,"On: Apr 26, 2019 | 38 Views",www.cardekho.com
JEEP COMPASS,Review of Jeep Sport Bedrock Petrol- Average Performance,3,reveiw   ,By Saroj Kumar,"On: Apr 05, 2019 | 131 Views",www.cardekho.com
JEEP COMPASS,Best Features,3,reveiw   ,By User,"On: Apr 04, 2019 | 67 Views",www.cardekho.com
JEEP COMPASS,I love this car,5,reveiw   ,By Nilay Tandel,"On: Apr 04, 2019 | 50 Views",www.cardekho.com
JEEP COMPASS,Best and Favourite Car,5,reveiw   ,By Nivedit Solanki,"On: Apr 01, 2019 | 39 Views",www.cardekho.com
JEEP COMPASS,Great Car Performance,5,reveiw   ,By Anonymous,"On: Mar 31, 2019 | 45 Views",www.cardekho.com
JEEP COMPASS,The Perfect Combination Of Power With Luxury.,5,reveiw   ,By Rishabh Davas,"On: Mar 30, 2019 | 126 Views",www.cardekho.com
JEEP COMPASS,Fine SUV,5,reveiw   ,By Ahmed S,"On: Mar 29, 2019 | 66 Views",www.cardekho.com
JEEP COMPASS,no head,4,reveiw   ,By Aditya Balachandar,"On: Mar 28, 2019 | 85 Views",www.cardekho.com
JEEP COMPASS,Great SUV. Top Of The Line,4,reveiw   ,By Anonymous,"On: Mar 27, 2019 | 44 Views",www.cardekho.com
JEEP COMPASS,Good car,5,reveiw   ,By Kunal Pawale,"On: Mar 26, 2019 | 64 Views",www.cardekho.com
