Model,Title,Rating(scaled to 5),Reveiw,Reviewer,Date,url
MG HECTOR,My Road Trip experience with MG Hector.,5,"I had planned a road trip with some of my friends last week. I have an MG Hector Sharp Hybrid 1.5. Drove the car from Raipur to Jagdalpur without stopping anywhere, that's approximately 300Kms. The mileage was 13.5 kmpl. We stopped for an hour and continued our trip to Danteshwari, then to Chitrakoot waterfalls, then back to Jagdalpur, then we returned to Raipur. This was all within 36 hours. The car nearly had a continuous run. There were all types of terrains enough from single lane steep hilly terrain to no roads at all in the Bastar region, roads filled with potholes were also on our list, and the car handled everything pretty well. At the end of the trip, the car travelled over 1200Kms and to my surprise, the engine temperature was optimal all the way even after rash driving on a long stretch of roads(State Highway), speeds exceeding 150Kmph, the overall mileage at the end of the trip was 12.6KmpL. This car performed well beyond my expectations. As I even drove it over 350kms on a single stretch and still faced no problems, no fatigue. Quite refined engine there MG.",By Supratik Upadhyay,"On: Dec 23, 2019 | 4513 Views",www.cardekho.com
MG HECTOR,Least Price - Best Facilities,5,"This is one of the best cars in this price which offers lots of facilities such as sunroof and large 10inch infotainment system, large boot space, precious look and this 5 seater SUV is the best option in price range of (20L- 30L) You can experience many things in this car which you could find in high segment cars. So, ""BUY MG HECTOR AND NEVER REGRET""",By Saurabh Papinwar,"On: Dec 26, 2019 | 307 Views",www.cardekho.com
MG HECTOR,Comfortable car,3,  The MG car is very good and comfortable and the mileage of the car is too good and the interior of the car is nice and it looks like premium ,By Hiren Barot,"On: Dec 27, 2019 | 57 Views",www.cardekho.com
MG HECTOR,Excellent car .,5,I had used the MG Hector car. It is a good car. It had an excellent car service The seats are so comfortable. The car goes smoother for a long ride last yesterday I went to Madurai and it gave a good performance. The internet service of the car was very excellent as it has a GPS navigator which gave ease for me to go to an area.,By Suriyakumar T,"On: Dec 26, 2019 | 165 Views",www.cardekho.com
MG HECTOR,Good car.,5,Very nice drive and safety. I like it and it is my favourite car. Nice look and interior is also nice.,By Vel Vel,"On: Dec 26, 2019 | 51 Views",www.cardekho.com
MG HECTOR,A great experience.,5,I bought this car a few weeks ago and the performance of the car according to me was excellent and the interiors were elegant.,By Inderpreet Gujral,"On: Dec 26, 2019 | 30 Views",www.cardekho.com
MG HECTOR,The best car in this budget range,5,"MG Hector is the best car, and the best intelligence technologies have used in this car. The brand has launched a very best car in this segment. Also, this car has very good torque and futuristic feature in an affordable price range. This car should get the best car award.",By Arav Bhardwaj,"On: Dec 24, 2019 | 153 Views",www.cardekho.com
MG HECTOR,Super car.,5,"Great car with the great experience of driving. Great space, awesome boot space, and leg space. ",By Kafil,"On: Dec 24, 2019 | 23 Views",www.cardekho.com
MG HECTOR,Amazing car.,3,Amazing car and the interiors and exteriors are wonderful. It also has voice command.,By Love Singh,"On: Dec 23, 2019 | 29 Views",www.cardekho.com
MG HECTOR,Satifying comfort.,5,I bought sharp at diesel and it is very satisfying to buy this car right now or you will regret it buy it now mg Hector is a nice car and it is the only car that is bigger than Audi q5 You should buy it and even lower models are very satisfying. I have an Audi a4 30tfsi 2017 model And it is smaller than MG Hector top model.,By The Mythical Gamer,"On: Dec 22, 2019 | 210 Views",www.cardekho.com
MG HECTOR,My MG SUV,5,"I personally use this car and think it is a good car and a comfortable car. So I would like to recommend this car to all. Please, go to your near MG showroom and buy one for yourself. I'm a businessman so I have to travel a lot but in comfort. So, because of this, I bought the new MG Hector.",By Sanjeev Sinha,"On: Dec 21, 2019 | 705 Views",www.cardekho.com
MG HECTOR,Good looks and appearance,5,"One of the expensive cars, I really love this car is fully automatic. My favorite car is MG Hector this car performance is very good I cannot explain this car because this car is cool I am buying this car previous year my car colour is white and he was looking awesome this is a fantastic car and good.",By Maruf,"On: Dec 20, 2019 | 297 Views",www.cardekho.com
MG HECTOR,MG Hector: Innovation,5,"One of my family friends has been using this car for 2 months. We have gone for a trip to Belgaum using this car after he bought it. In my opinion, this is the best car suitable for Indian roads and one of the best SUV'S I have ever driven. Its features are awesome and some of its possibilities of headrest, device connectivity is very good. Good ground clearance, mileage is also effective.",By Sushil Bhawsagar,"On: Dec 19, 2019 | 237 Views",www.cardekho.com
MG HECTOR,Wonderfull car to buy,5,"I was waiting to get this car in Coimbatore, at last, I went to Chennai and got it is really wonderful. I request everyone to get MG Hector I heard that the branch has been open in Coimbatore, before I had XUV car but MG Hector is a very good experience, so once if you try this car you will not get any other car I Love MG Hector.",By Golda Samuel,"On: Dec 20, 2019 | 156 Views",www.cardekho.com
