Model,Title,Rating(scaled to 5),Reveiw,Reviewer,Date,url
KIA SELTOS,Best car.,5,"Kia Seltos is the car of the year. Its design is fantastic, features are fantastic, refinement is excellent, NVH level is Superb, ride quality is superb and diesel manual mileage is excellent, seat comfort is superb, the back seat of this vehicle occupies 3 people comfortably. The drive is really convenient in heavy traffic with automatic gear and it's easy to ride on Indian roads. Kia Seltos is a good luxury SUV at a valuable price. Extraordinary features like heartbeat DRLs and Sweeping LED indicators and All LED Headlight, build quality is excellent with attractive features in the SUV. This SUV feels more premium SUV in the segment. The alloy wheels are just very attractive. Just go for it.",By Souparno Maity,"On: Dec 27, 2019 | 238 Views",www.cardekho.com
KIA SELTOS,Easy to drive.,5,"The car has a fabulous design and the drive quality is very comfortable, specially the red color looks very attractive.",By Arena Series,"On: Dec 28, 2019 | 12 Views",www.cardekho.com
KIA SELTOS,Best Car in segment.,5,"This is a fantabulous car, with advance features the design of the car is eye-catchy.",By Lakshay Mahajan,"On: Dec 28, 2019 | 11 Views",www.cardekho.com
KIA SELTOS,A complete package.,5,"After I took the test drive of the vehicle I was fully satisfied with Kia Seltos is a complete package. It ensures a smooth drive, comfort is awesome and spacious and also the engine is powerful.its not but mini SUV car color, and design is great and also the interior are the best in the segment.",By Darshan Manojkumar Ugare,"On: Dec 28, 2019 | 317 Views",www.cardekho.com
KIA SELTOS,Comfort drive.,5,"Best in this segment and for the family, it can go anywhere from cities to mountains the car comes with the best comfort and features.",By Qaseem,"On: Dec 28, 2019 | 22 Views",www.cardekho.com
KIA SELTOS,Muscular car.,5,"The infotainment system of the car is amazing, it has muscular looks with great fuel economy.",By Aman Thakur,"On: Dec 27, 2019 | 23 Views",www.cardekho.com
KIA SELTOS,Powerful engine.,5,"I have driven my friend Kia Seltos the experience was very good, I first noticed the power was really good I was thinking that this is a newly launched car in the market with a new company. I don't have any high expectations but this car gets above my expectations somehow the cooling of this car is very good the car is totally cooled just in 50 seconds that's the best part of love with this car.",By Anonymous,"On: Dec 27, 2019 | 218 Views",www.cardekho.com
KIA SELTOS,Fantastic car,5,  Nice car everything is good in this car.KIA is awesome and hoping that the next car from KIA is going to be awesome ,By Anonymous,"On: Dec 27, 2019 | 35 Views",www.cardekho.com
KIA SELTOS,Best segment car,5,Best segment car overall design performance everything! The car design no match to other cars in the other case this car fits on turbo engine,By Kunal Thakran,"On: Dec 27, 2019 | 31 Views",www.cardekho.com
KIA SELTOS,Bose Sound car,5,The car is fully loaded with features and bose sound speaker and the driver seat is electrically adjustable. Engine performance is also perfect  ,By Swaraj,"On: Dec 27, 2019 | 21 Views",www.cardekho.com
KIA SELTOS,Good price car,4,  The is car and drive is smooth and the interior is good looking compared to all other cars this is my opinion ,By Saurabh Verma,"On: Dec 27, 2019 | 19 Views",www.cardekho.com
KIA SELTOS,The superb vehicle.,4,Amazing performance and great driving experience so far. Kia's debut car is performing well.,By Muhammed Nihal,"On: Dec 27, 2019 | 22 Views",www.cardekho.com
KIA SELTOS,Great car.,5,"Seltos is near perfect vehicle by many angles. Its design is fantastic, looks are fantastic, features are fantastic, refinement is excellent, NVH levels are superb, ride quality is superb and easily comparable to my Innova Crysta, diesel manual mileage is excellent, seat comfort is superb. ",By Thilak Pari Vr,"On: Dec 27, 2019 | 150 Views",www.cardekho.com
KIA SELTOS,Awesome car.,5,Great design and the best comfort it has and is luxurious.,By Dilip Kumar Sahu,"On: Dec 27, 2019 | 14 Views",www.cardekho.com
KIA SELTOS,Best car,5,One of the best of 2019 car. I really love it and the interior is really awesome. The design of the car is really futuristic and gives an overall cool look.,By Anonymous,"On: Dec 26, 2019 | 32 Views",www.cardekho.com
KIA SELTOS,nice car .,3,It's a very nice car. I purchased the last two month ago. I got a very good comfortable riding and I am happy with this car.,By Ashish,"On: Dec 26, 2019 | 25 Views",www.cardekho.com
KIA SELTOS,Need some Improvement.,3,Good car but it doesn't have much pickup but this car has best in class features so not bad.,By Lavan,"On: Dec 26, 2019 | 23 Views",www.cardekho.com
KIA SELTOS,Awesome car.,5,Just Awesome car in this price range. Comfortable with good seats ... Awesome features.. Interior is very beautiful. Quality of alloys is also superb. The overall look is very good.,By Abhishek,"On: Dec 26, 2019 | 302 Views",www.cardekho.com
KIA SELTOS,Value for money car,4,"Its good car in every aspect. If we compare with Creta than only the height factor is concerned. Other things the company can improve its 10-inch display. Hybrid technology also keeps in as it plays a good role. Lastly, backside shape can be improved.",By Sanjay,"On: Dec 26, 2019 | 195 Views",www.cardekho.com
KIA SELTOS,Nice website to search about cars,4,Nice website to search about cars And many more action I really appreciate car dekho Nice job Sonu Kareem Thank you Car lover,By Sonu Kareem,"On: Dec 27, 2019 | 14 Views",www.cardekho.com
KIA SELTOS,SUV of the year.,5," Best SUV of the year, the Kia Seltos is a subcompact crossover SUV built by Kia Motors. Based on the Kia SP Signature concept car, its name is derived from ""Celtos"", the son of Hercules in Greek mythology.",By Mubeen Muhammad,"On: Dec 26, 2019 | 565 Views",www.cardekho.com
KIA SELTOS,Overall good car,4,"It's a good product from the stable of Kia. Average may be an issue for some people as in bumper to bumper traffic its average is around 11-12 km and on the highway, it may go beyond 19 if driven on a constant speed of 80 without much use of the clutch. overall good car.",By Faisal Nafis,"On: Dec 26, 2019 | 131 Views",www.cardekho.com
KIA SELTOS,Comfortable and smooth driven,5,It is a too smooth and comfortable car. I just love the interior and exterior of this car and its design its interior look everything is perfect.,By Manav,"On: Dec 26, 2019 | 16 Views",www.cardekho.com
KIA SELTOS,Best car in India.,5,It's an affordable car and I like it very much. Nice SUV in this segment at this price range. I think its a perfect car.,By Arshad Iqbal,"On: Dec 26, 2019 | 21 Views",www.cardekho.com
KIA SELTOS,Excellent car.,5,I am the proud owner of Kia. Amazing mileage and performance. The perfect SUV Car. I have really liked to build quality of the car. Go and get it.,By Vaibhav Patil,"On: Dec 26, 2019 | 15 Views",www.cardekho.com
